Preah Khan - ANGKOR TEMPLES IN CAMBODIA|https://www.angkor-temples-in-cambodia.com/preah-khan.html|Preah Khan was not only a temple. It was a Buddhist monastery, an ensemble of shrines for 430 Hindu gods, a Mahayana university with over 1000  ...    Preah Khan's original Sanskrit name, known from the large inscription found within the temple compound in 1929, was „Nagarashrijaya“, also spelt „Nagara Jayashri. The name means „city of glorious victory", a reminder that at this place Jayavarman VII had defeated the Cham ruler of Angkor and thereby repulsed the foreign invaders. "Nagara", although  ...    general. By the way, its Khmer derivation was: "Angkor". "Shri", also spelt "sri" like in „Sri Lanka“, can be  ...    Preah Khan plays an important role in Cambodia’s history, as it is considered to have served as the first residence of Jayavarman VII within the area of Angkor and, due to this function, to have kept the royal insignia of this famous  ...    a toll of several tons of rice daily. Preah Khan was not only a temple for worshipping Mahayanist saviours and Hindu  ...   
The Syncretism of Religions in Southeast Asia, Especially ...|https://angkordatabase.asia/publications/the-syncretism-of-religions-in-southeast-asia-especially-in-the-khmer-empire|many encounters of various religious philosophies in Angkor.  ...    English-speaking public, condensates the many forms of religious and philosophical syncretisms at the core of the Khmer  ...    Of particular interest is the author’s focus on the figure of Lokeshvara, also known as Avalokiteshvara. He notes that this so specificallyh Khmer deity ​“did not figure prominently in the early part of the reign of Jayavarman VII. Preah Shan of Angkor was dedicated to that deity and Ta Prohm — to Prajnaparamita, and Coedès points out that they form the  ...    - The Ancient Khmer Empire, Philadelphia, Transactions of the American Philosophical Society, New Series- Vol 41 – 1,  ...    - “The syncretism of religions in Southeast Asia, especially in the Khmer Empire”, JAOS 71/4 (1951): 230 –  ...    - “Notes on George Coedes, ​“Les Etats hinduises d’Indochine et d’Indonesia”, FEQ 7, 1948: 373- 376; ​“The Hinduised states of Southeast Asia; a review of George Coedes, ​‘Histoire ancienne des
Preah Khan|https://en.wikipedia.org/wiki/Preah_Khan|a Buddhist temple at Angkor, Cambodia, built in the 12th century for King Jayavarman VII to honor his father.: 383–384, 389  ...    ; Preah Khan ; - ; ; --- ; --- ; ; Preah Khan ; - ; ; Religion ; - ; ; Affiliation ; Buddhism ; ; Location ; - ;  ...    ; Coordinates ; 13°27′43″N 103°52′18″E﻿ / ﻿13.4619594°N 103.8715911°E﻿ / 13.4619594; 103.8715911 ; ; Architecture ; - ; ; Creator ; Jayavarman VII ; ; Completed ; 1191 A.D. ; ; Website ; - ; ; wmf.org/preah-khan ; - ;  ...    Preah Khan was built on the site of Jayavarman VII's victory over the invading Chams in 1181. Unusually the modern name, meaning "holy sword", is derived from the meaning of the original—Nagara Jayasri (holy city  ...    Tribhuvanadityavarman. The temple's foundation [stela]<
Jayavarman VII|https://en.wikipedia.org/wiki/Jayavarman_VII|the first Khmer king devoted to  ...    ; Issue ; Suryakumara (mentioned in Ta Prohm), Virakumara (mentioned in Preah Khan), Srindrakumara (mentioned in  ...    and monuments. As a Mahayana Buddhist, his stated aim was to alleviate his people's suffering. One  ...    Thereafter, he built a pair of temples in honor of his parents: Ta Prohm in honor of his mother and Preah Khan in honor of his father.: 125–129  ...    lake.: 124–125 The Preah Khan inscription says that the King erected Buddha stone images, the Jayabuddhamahanatha, in 23  ...    Bayon, a multifaceted, multi-towered temple that mixes Buddhist and Hindu iconography. Its
Preah Khan Temple|https://www.wmf.org/projects/preah-khan-temple|Preah Khan Temple
Preah Khan Temple Guide - The Royal Sword - Just Siem Reap|https://justsiemreap.com/temple-guide/preah-khan/|built on site of the victory over the invading Cham armies in 1191 AD. The temple is one of the largest created during the Khmer empire and measures an area of 56 hectares. Preah Khan is  ...    ## Temple Facts  Date:  1191 A.D (late 12th century AD)  Religion:  Buddhism  Built By:  Jayavarman VII  Dedicated To:  ...    Preah Khan was built in 1191 AD by King Jayavarman VII. It was originally built as a Buddhist temple and the name means Royal Sword or Holy Sword. The temple was built on the site of a victorious battle against the invading Chams. The modern name, Preah Khan, directly comes from the original name, Nagar Jayasri. The stele, a
Preah Khan Temple (ប្រាសាទព្រះខ័ន) - A Guide to Angkor's ...|https://www.visittocambodia.com/2025/10/preah-khan-temple-guide-to-angkors.html|by the great King Jayavarman VII, Preah Khan, or the "Temple of the Sacred Sword," is a  ...    Preah Khan was far more than just a temple; it was a bustling city, a major Buddhist university, and a symbol of a  ...    ### Victory and Dedication Constructed in 1191 AD, Preah Khan holds deep historical significance. It was built by King Jayavarman VII on the very site where he won a decisive victory against the invading Cham forces. The temple was dedicated to his father, Dharanindravarman II, who was posthumously represented as the bodhisattva of compassion, Lokesvara (Avalokiteshvara). The temple's modern name, "Sacred Sword" (ព្រះខ័នរាជ), is believed to derive from the name of the original city, Nagara  ...    1. What does the name "Preah Khan" mean? It translates to "Sacred Sword." The temple was built on the site of a victorious battle
Preah Khan temple was built in the second half of the 12th century in ...|https://www.facebook.com/Tourism2Cambodia/posts/preah-khan-temple-was-built-in-the-second-half-of-the-12th-century-in-ad-1191-by/939979431507288/|Preah Khan temple was built in the second half of the 12th century in AD 1191 by King Jaya-varman VII, dedicating to his father Dharanindravarman. The Buddhist complex covers 56 hectares served as the nucleus of a group that includes Neak Pean and Ta Som, located 4 kilometers long Jayatataka Baray—the last of the great re¬servoirs to be built in Angkor.  ...    Tourism of Cambodia https://www.tourismcambodia.com/att.../angkor/preah-khan.htm![Prasat Preah Khan - The sacred sword - Angkor Archeological Park - Angkor Wat Guide - What to See in Cambodia -  ...    Prasat Preah Khan - The sacred sword - Angkor Archeological Park - Angkor Wat Guide - What to See in Cambodia -  ...    [### Prasat
Preah Khan Temple, Angkor, Cambodia - Asian Historical Architecture|https://www.orientalarchitecture.com/sid/26/cambodia/angkor/preah-khan-temple|Angkor - Tonle Sgnout Temple - Thommanon Temple - Terrace of the Leper King - Terrace of the Elephants (North)  ...    - Prei Prasat Temple - Preah Pithu X - Preah Pithu U - Preah Palilay Temple - Preah Khan Temple - Pre Rup Temple - Prasat Suor Prat Towers - Prasat Prei Temple - Prasat Kravan Temple - Prasat Chrung (Southeast) - Phnom Bok Temple  ...    Phnom Penh  - Wat Phnom - Victory Monument - Tuol Sleng Genocide Center - Silver Pagoda - Choeng Ek 'Killing Fields' Preah Vihear Province  - Preah Vihear - Preah Khan Kompong Svay - Prasat Preah Stung  Roluos  ...    - Beng Mealea Temple - Banteay Srei Temple © Copyright 1998-2026 by contributors
Preah Khan Temple ប្រាសាទព្រះខ័ន|https://cambodiancommunityday.org/index.php?Itemid=782&id=313&option=com_content&view=article|Gate). It was built by King Jayavarman VII in 1191, at the end of the 12th century, dedicated to the Mahayana Buddhist faith. The king erected a principal image of  ...    The name "Preah Khan" means “Sacred Sword of Victory,” derived from the ancient capital Jayashri (“Holy City of  ...    Victory”). In 1191, Preah Khan was consecrated at the heart of Jayashri, dedicated to King Jayavarman VII’s father,  ...    through the northern gate of Angkor Thom. The temple, covering 56 hectares, was built in 1191 by Jayavarman VII to dedicate to his father. According to inscriptions, the temple was constructed on the battlefield where Jayavarman VII finally defeated the Cham invaders. The temple has four enclosures:  ...    both Buddhism and Brahmanism. Preah Khan itself was once a fierce battlefield when the Chams attacked and occupied  ...    The name "Preah Khan" reflects Jayavarman VII’s victory over the Cham invaders at this site. The bloody battles fought here are
