SOUS LES PAVÉS, LUTÈCE ANTIQUE - ArcGIS StoryMaps|https://storymaps.arcgis.com/stories/abebd3b1483345fa8bc5c38d96230f56|SOUS LES PAVÉS, LUTÈCE ANTIQUE
Un plan quadrillé | Paris antique - Archéologie | culture|https://archeologie.culture.gouv.fr/paris/fr/un-plan-quadrille|du Haut-Empire  # Un plan quadrillé  Plan © D. Busson et V. Charlanne.  ...    même sur des terrains qui ne furent pas complètement urbanisés : ainsi, l’écart que l’on trouve entre le cardo maximus(rue Saint-Martin) et le cardo de la rue Saint-Denis correspond précisément à 600 pieds.  ...    dégagée vers l’île et la rive droite. Ce « point zéro » se situerait probablement à l’angle sud-est du forum, aujourd’hui devant les n°172 et 174 de la rue Saint-Jacques, à l’endroit le plus élevé de la montagne Sainte-Geneviève.  ...    Parmi les grandes artères de Lutèce, certaines existent encore. Il s’agit essentiellement de voies cardinales comme le cardo maximus de la rue Saint-Jacques, le cardo du boulevard Saint-Michel et le cardo de la rue Valette. Sur la rive droite, on retrouve le cardo maximus de la rue Saint-Martin et un autre cardo rue Saint-Denis.Les voies  ...    decumani. Une autre voie divergente importante est observable sur le cardo de la rue Saint-
La nécropole Saint-Jacques | Paris antique - Archéologie | culture|https://archeologie.culture.gouv.fr/paris/fr/la-necropole-saint-jacques|ville du Haut-Empire  # La nécropole Saint-Jacques  Infographie © A.-B. Pimpaud. Plan de la nécropole Saint-Jacques. Plan © D. Busson et V. Charlanne. Cliché © IGN Photothèque Nationale - 1999  ...    Au Haut-Empire, Lutèce comptait plusieurs nécropoles. Seule la plus importante, située au sud de la ville, a été bien reconnue. Elle s’étendait à l’emplacement de l’abbaye de Port-Royal, entre les axes formés par le boulevard Saint-Michel et l’avenue Denfert-Rochereau, et par la rue Saint-Jacques. Selon une pratique bien établie pendant l’Antiquité, les sépultures étaient implantées au bord d’une voie, ici le cardo maximus, à la sortie de la ville. Par  ...    À
Actualité | Redécouverte d’une nécropole de Lutèce (Paris) | Inrap|https://www.inrap.fr/redecouverte-d-une-necropole-de-lutece-paris-17191|nécropole Saint-Jacques  ...    implantées en sortie de la ville et les sépultures au bord d’une voie. Au Haut-Empire, Lutèce, dont l’urbanisation méridionale s’étendait jusqu’au Val de Grace, comptait plusieurs nécropoles. La plus importante, dite « nécropole sud » – également appelée nécropole Saint-Jacques ou bien encore nécropole de la rue Pierre-Nicole (en raison du nombre conséquent de sépultures découvertes dans la partie méridionale de cette rue) – se développait au sud de la ville, le long du cardo maximus (actuelle rue Saint-Jacques). La fouille menée actuellement permet d’en étudier une petite partie qui a échappé aux nombreux travaux de voierie dont  ...    [Vue générale de la fouille du boulevard Port-Royal à Paris, en 2023.Les sépultures d’une grande nécropole, implantée  ...    que la nécropole s’étendait à l’emplacement de l’abbaye de Port-Royal, jusqu’au boulevard Saint-Michel et qu’à l’apogée  ...    [Un éclairage arché
Rue Saint-Jacques (Paris)|https://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris)|gallo-romaine] (cardo maximus), elle constitue toujours l'une des principales voies de transit à travers le quartier Latin, parallèlement au boulevard Saint-Michel (mais en sens opposé pour la circulation de véhicules). Elle se distingue par la présence de  ...    Saint-Mathelin », « Grand'rue Saint-Benoît », enfin « Grand'rue Saint-JacquesLazare 1844 », en raison de la chapelle  ...    Le boulevard Saint-Michel et la rue Saint-Jacques sont à sens unique (pour la partie basse du boulevard) et inverse et  ...    fontaine Saint-Séverin. Construite par le sculpteur Augustin Guillain en 1625 et reconstruite à  ...    - 43 : les fouilles archéologiques menées en mai 1891 par Charles Magne mirent au jour, parmi le mobilier trouvé, une  ...    - 46 ou 96 : ancien emplacement de l' église Saint-Benoît-le-Bétourné.  ...    - 53 : siège de la revue ésotérique Tour Saint-Jacques, dirigée par l’écrivain Robert Amadou,  ...    une cave voûtée en berceau, et un bloc de grès du cardo maximus de
Une ville nouvelle - Atlas historique de Paris|https://paris-atlas-historique.fr/38.html|Chartres. La ville romaine va se développer au début du Ier siècle après J.-C. rive gauche, sur les pentes de la montagne Sainte-Geneviève, selon un plan quadrillé, dont l’axe, le cardo maximus, est l'ancien chemin gaulois sans doute rectifié (la rue Saint-Jacques). Ce plan parfaitement régulier, typique des villes neuves coloniales, est organisé  ...    commerciales (boutiques). Un théâtre, un amphithéâtre (les arènes de Lutèce) et trois établissements thermaux alimentés  ...    la Lutèce gallo-romaine présente ainsi un double aspect, dense et fermé dans l'île, monumental et ouvert sur la rive  ...    La ville à l’apogée de la paix romaine, soit au début du IIIe siècle après J.C., s’étendait sur 80 à 100 ha : 8 dans l’île de la Cité, 65 à 85 sur la rive gauche et un petit faubourg rive droite. Elle pouvait avoir environ 8 000  ...    tête de l’Empire entraîne un repli sur l’île de la Cité qui est fortifiée au début du IVe s. La rive gauche semble peu à peu abandonnée ; les bâtiments
Les relations entre la ville et le fleuve à Paris de l'Antiquité gallo ...|https://journals.openedition.org/nda/1529?lang=en|Making sure you're not a bot!  Loading...  ...    scourge of AI companies aggressively scraping websites. This can and does cause downtime for the websites, which makes their resources inaccessible for everyone. Anubis is a compromise. Anubis uses a Proof-of-Work scheme in the vein of Hashcash, a proposed proof-of-work scheme for reducing email spam. The idea is that at individual scales the additional load is ignorable, but at mass scraper levels  ...    Ultimately, this is a placeholder solution so that more time can be spent on fingerprinting and identifying headless browsers (EG: via how they do font rendering) so that the challenge proof of work page doesn't need to be presented to  ...    Please note that Anubis requires the use of modern JavaScript features that plugins like JShelter will disable. Please disable JShelter or other such plugins for this domain.
De Lutèce au Grand Paris, l'histoire de la capitale à travers ses cartes|https://www.pariszigzag.fr/insolite/histoire-insolite-paris/de-lutece-au-grand-paris-lhistoire-de-la-capitale-a-travers-ses-cartes/|au Ier siècle av. J.-C., celle que l’on surnomme la « Ville Lumière » a connu de multiples visages modelés par les  ...    À l’origine, une petite cité gallo-romaine s’est construite sur la Rive gauche de la Seine durant le Ier siècle av.  ...    Devenue la capitale française sous Clovis, celle que l’on nomme désormais « Paris » s’agrandit considérablement.  ...    Carte du Paris médiéval, Nicolas de La Mare, 1707  ...    sous un nouveau jour : le vieux Paris médiéval fait place à de vastes boulevards, des rues linéaires et de grands immeubles uniformes. La capitale bourgeoise passe alors de douze à vingt arrondissements, et relègue les plus démunis  ...    accueilli le centre Pompidou durant les années 1970. La politique urbaine de la capitale n’est alors plus soumise à  ...    depuis quelques années en gardant en tête l’arrivée des Jeux olympiques à Paris en 2024. Romane Fraysse  A lire également : [Comment Paris compte se mettre au vert
|https://shs.hal.science/halshs-00668548v1/file/Noizet_NouvArcheo.pdf|relations entre la ville et le fleuve à Paris de l’Antiquité gallo-romaine au Moyen Âge central Hélène Noizet  ...    Hélène Noizet. Les relations entre la ville et le fleuve à Paris de l’Antiquité gallo-romaine au Moyen  ...    La récente mise en place d’un SIG sur l’espace parisien ancien (Noizet 2008-2009 ;  ...    et historiques de différentes époques, principalement médiévales et modernes : celles-ci  ...    basculement urbain de la rive gauche à la rive droite.  ...    figure la topographie pré-urbaine restituée par Vincent Krier lors de la fouille du  ...    32, 40, carte I). La rive gauche se caractérise ainsi par une vaste zone humide, reculant l’espace non inondable à plus de 300 m au sud de l’actuelle berge, approximativement au niveau du boulevard Saint-Germain : de cette grande étendue marécageuse, un seul point haut  ...    de l’Hôtel de Ville. 2 Dans la perspective du grand basculement urbain de la rive gauche à la rive droite, qui s’effectue au cours du haut Moyen Âge,
La première enceinte de la rive droite à Paris (xe et xie siècles). Fouille du 140a, rue de Rivoli Paris 1er. Étude topographique du tracé et exploitation des sources écrites|https://journals.openedition.org/archeomed/9650|Archéologie médiévale  ...    Résumé ; Plan ; Texte ; Bibliographie ; Notes ; Citation ; Auteurs  ## Résumés  Français English Deutsch Une opération d’archéologie préventive réalisée en 1999 au 140a, rue de Rivoli à Paris (1er arrondissement) a fourni l’occasion d’observer un tronçon du fossé de l’enceinte urbaine primitive de la rive droite. Elle a également permis de  ...    nécropole qui se constitue autour de l’église. Il se trouve sur un des tracés présumés de la première enceinte urbaine médiévale de la rive droite. La présence de celle-ci sur la parcelle a été confirmée.  ...    que le rempart du Bas-Empire et les deux ponts fortifiés, le Grand Pont pour la rive droite et le Petit Pont pour la rive gauche : Un fleuve étend autour de toi en un cercle parfait ses bras qui caressent tes murs. À ta droite et à ta gauche, sur tes  ...    reportent furtivement leurs claies dans leur camp », v. 426). Dans le livre II, l’action se déplace sur la rive gauche et sur l’île, la rive dro
