L'île de la Cité, le cœur archéologique de Paris|https://storymaps.arcgis.com/stories/3c05af529634496ca5b2fcc0c207494f|L'île de la Cité, le cœur archéologique de Paris
Actualité | Palais de Justice de Paris : l’île de la Cité...  | Inrap|https://inrap.fr/palais-de-justice-de-paris-l-ile-de-la-cite-et-ses-vestiges-meconnus-20594|les archéologues de la Ville de Paris (Département  ...    Prescrites par le service régional de l’archéologie de la Direction régionale des affaires culturelles d’Île-de-France, ces recherches menées par les archéologues de la Ville de Paris et de l’Inrap concernent une emprise située au cœur de l’Île de la Cité en contexte urbain dense. Elles ont révélé une stratigraphie complexe, témoignant d’occupations et  ...    Parmi les découvertes majeures figurent des structures bâties médiévales inédites dont des fragments de carreaux  ...    Ils recouvraient un espace de cave appartenant à la même phase chronologique, contemporain du palais royal de l’île de la Cité, mais absent des plans anciens connus. Cet aménagement s’inscrit dans la période durant laquelle ce palais  ...    construite au Bas-Empire (IIIe-Ve siècles) autour de l’île. Une installation dense semble s’être organisée à cette  ...    Les fouilles de la cour du Mai apportent déjà une masse de nouvelles données sur un secteur
La crypte archéologique de l'île de la Cité|https://paris-promeneurs.com/la-crypte-archeologique-de-lile-de-la-cite/|De nombreux vestiges datant de l’époque gallo-romaine, du Moyen-Age et des 18e et 19e siècles sont mis jour. Ils témoignent de l’urbanisation de l’île de la Cité au 1er siècle après J-C et illustrent l’évolution de la ville de Paris qui n’a cessé de se reconstruire sur  ...    ## Un passionnant musée d’archéologie et d’histoire Le musée vous fait découvrir une partie du mur du quai du port antique de Lutèce, les salles à hypocauste d’un établissement de bains publics gallo-romains, et un mur d’enceinte datant du début du IVe siècle. Du Moyen-Age, on observe des fondations de maisons de l’ancienne rue Neuve-Notre-Dame (le tracé de cette rue située dans l’axe du  ...    Métro : Cité 
Crypte archéologique|https://www.crypte.paris.fr/|L’exposition dresse un portrait de la Seine parisienne à partir d’une série d’objets recueillis dans son lit ou sur ses  ...    ## La Crypte Archéologique de l’île de la Cité Présentant les vestiges archéologiques découverts lors des fouilles réalisées entre 1965 et 1970, la Crypte archéologique de l’île de la Cité, située sur le parvis Notre-Dame, offre un panorama unique sur l’évolution urbaine et architecturale de l’île de la Cité, cœur historique de la capitale. [Découvrir le site
Plus de 2000 ans d'histoire | Crypte|https://www.crypte.paris.fr/la-crypte/plus-de-2000-ans-dhistoire|Paris pour présenter les vestiges archéologiques découverts lors des fouilles réalisées entre 1965 et 1972, la crypte offre un panorama unique sur l’évolution urbaine  ...    remonter le fil du temps. Quai du port de l’antique Lutèce, établissement de bains publics gallo-romain, mur d’enceinte du début du IVe siècle, sous-sol de l’ancienne chapelle de l’Hôtel-Dieu, restes médiévaux de la rue Neuve Notre-Dame, fondations de l’hospice des Enfants-Trouvés, tracés des égouts haussmanniens : le passé antique, médiéval et classique,  ...    La ville gallo-romaine de Lutèce se développe sur la rive gauche de la Seine sous le règne de l’empereur Auguste (27  ...    aumoment de la fin de l’Antiquité et des premières invasions barbares. Il s’agit des thermes et du rempart. Les fondations de cette fortification, qui ceinturait l’île de la Cité, sont constituées de gros blocs récupérés dans la nécropole et les monuments abandonnés de la rive gauche de Lutèce. Les vestiges des thermes occupent la
[PDF] Palais de la Cité, projet de liaison entre la Sainte-Chapelle et ... - HAL|https://hal.science/hal-04159998/document|10 boulevard du Palais / Palais de la Cité, projet de liaison entre la Sainte Chapelle et la  ...    3.1 Considérations générales sur la stratigraphie 32 3.2 L’occupation antique 35 3.2.1 Un niveau d’occupation précoce 35 3.2.2 Une sépulture tardo-antique 36 3.3 Le haut Moyen Âge 38 3.4 Du XIIIe  ...    Palais de la Cité, projet de liaison  entre la Sainte-Chapelle et la  Conciergerie /10 boulevard du Palais  Codes  ...    et témoignent de la présence d’une construction. Les sources évoquent le  ...    En tout cas, ce secteur situé à l’ouest du mur nord-sud reliant les courtines nord et sud du rempart tardo-antique, va devenir le lieu de résidence des rois de France dès l’époque mérovingienne et jusqu’au règne de Dagobert  (Guérout 1953) et on peut supposer que le «  ...    palais royal. En marge occidentale du pôle royal, une occupation datée entre  la fin du Ve  ...    dans une topographie de rupture de pente de la berge. L’occupation antique  est, rappelons-le, absente. La période
Actualité | Palais de Justice de Paris : l’île de la Cité...  | Inrap|https://inrap.fr/palais-de-justice-de-paris-l-ile-de-la-cite-et-ses-vestiges-meconnus-20594|de Paris et de l’Inrap concernent une emprise située au cœur de l’Île de la Cité en contexte urbain dense. Elles ont révélé une stratigraphie complexe, témoignant d’occupations et d’aménagements successifs allant de la transition entre l’époque gauloise et l’Antiquité jusqu’à l’époque moderne. Parmi les découvertes majeures figurent des structures bâties médiévales inédites dont des fragments de carreaux  ...    attribuables à la période carolingienne.  ...    Ils recouvraient un espace de cave appartenant à la même phase chronologique, contemporain du palais royal de l’île de la Cité, mais absent des plans anciens connus. Cet aménagement s’inscrit dans la période durant laquelle ce palais  ...    ### Une zone funéraire carolingienne inattendue  ...    archéologique. Cinq sépultures orientées tête à l’ouest, attribuables à la période carolingienne (VIIIe-XIe siècles),  ...    cours (étude du mobilier, anthropologie funéraire, phasage stratigraph
Actualité | Palais de Justice de Paris : l’île de la Cité...  | Inrap|https://www.inrap.fr/fouilles-archeologiques-au-palais-de-justice-l-ile-de-la-cite-et-ses-vestiges-20594|de Paris et de l’Inrap concernent une emprise située au cœur de l’Île de la Cité en contexte urbain dense. Elles ont révélé une stratigraphie complexe, témoignant d’occupations et d’aménagements successifs allant de la transition entre l’époque gauloise et l’Antiquité jusqu’à l’époque moderne. Parmi les découvertes majeures figurent des structures bâties médiévales inédites dont des fragments de carreaux  ...    attribuables à la période carolingienne.  ...    Ils recouvraient un espace de cave appartenant à la même phase chronologique, contemporain du palais royal de l’île de la Cité, mais absent des plans anciens connus. Cet aménagement s’inscrit dans la période durant laquelle ce palais  ...    ### Une zone funéraire carolingienne inattendue  ...    archéologique. Cinq sépultures orientées tête à l’ouest, attribuables à la période carolingienne (VIIIe-XIe siècles),  ...    cours (étude du mobilier, anthropologie funéraire, phasage stratigraph
L’Île de la Cité : des origines antiques au cœur historique de Paris|https://cesarcultureg.com/l-ile-de-la-cite-des-origines-antiques-au-coeur-historique-de-paris|*L’Île de la Cité, souvent considérée comme le berceau de Paris, occupe une place centrale, aussi bien géographiquement qu’historiquement. Ce lopin de terre au milieu de la Seine a évolué au fil des siècles. Elle est passée d’un modeste village gaulois àun centre religieux, judiciaire et culturel emblématique de la capitale française. Des Parisii  ...    ### Les origines antiques de l’Île de la Cité L’histoire de l’Île de la Cité commence bien avant l’ère chrétienne, lorsque la tribu gauloise des Parisii s’installe  ...    En témoignent plusieurs fouilles archéologiques qui ont révélé les restes d’un forum et d’autres structures caractéristiques de l’urbanisme romain. Par exemple, Notre-Dame de Paris a été construite sur les vestiges de  ...    Francs.**]Clovis, roi des Francs, y fait construire un palais royal sur les vestiges de la résidence du  ...    àl’époque médiévale –Florian Cordier### Transformations modernes et réaménagements  ...    **Avec l’arrivée des Temps modernes,
L’île de la Cité 1000-1300 – PARIS, la mise en place d'une ville|https://urbanisation-paris.com/2017/04/19/lile-de-la-cite-1000-1300/|L’île de la Cité est le cœur de la ville depuis la fin de la paix romaine. Protégée par le fleuve et sans doute au début du IVe siècle par un mur fortifié, elle a permis – au travers des pires périodes de troubles – la continuité de  ...    Gros. Un siècle plus tard, mettant un terme à la rivalité avec les Carolingiens, c’est un de ses descendants, Hugues  ...    rang des détenteurs de terres, le clergé cathédral, évêque et chapitre de Notre-Dame, dispose de ressources  ...    Le palais occupe un site où séjournèrent les gouverneurs romains et l’empereur Julien au IVe siècle (voir Paris, du Ve au Xe siècle). Vers l’an 1000, on ne sait pas dire précisément à quoi il ressemblait, peut-être une  ...    Juin, la fenaison. Très riches heures du duc de Berry, XVe siècle.Le Palais de la Cité, à la pointe occidentale de  ...    Entre temps, Paris est devenue la ville de résidence des rois capétiens. Mais les rois n’y demeurent pas en permanence.  ...    La descente du Saint Esprit. Heures
